124	L_ 69 / B_ {#akArRavezwakika#}	akArRavezwakika
125	L_ 70 / B_ {#akArpaRya#}	akArpaRya
126	L_ 71 / B_ {#akArya#}	akArya
127	L_ 71 / B_ {#akArya#} / M_ {#--ryaM#}	akAryaM
128	L_ 71 / B_ {#akArya#} / S_ {#--kArin#}	akAryakArin
129	L_ 72 / B_ {#akAla#}	akAla
130	L_ 72 / B_ {#akAla#} / M_ {#--laH#}	akAlaH
131	L_ 72 / B_ {#akAla#} / S_ {#--kusumaM#}, {#--puzpaM#}	akAlakusumaM,akAlapuzpaM
132	L_ 72 / B_ {#akAla#} / S_ {#--kUzmAMqaH#}	akAlakUzmAMqaH
133	L_ 72 / B_ {#akAla#} / S_ {#--ja#}, {#--utpanna, --jAta#}	akAlajAta,akAlaja,akAlotpanna
134	L_ 72 / B_ {#akAla#} / S_ {#--jaladaH#}	akAlajaladaH
135	L_ 72 / B_ {#akAla#} / S_ {#--jaladodayaH#}, {#--meGodayaH#}	akAlajaladodayaH,akAlameGodayaH
136	L_ 72 / B_ {#akAla#} / S_ {#--velA#}	akAlavelA
137	L_ 72 / B_ {#akAla#} / S_ {#--saha#}	akAlasaha
138	L_ 73 / B_ {#akiMcana#}	akiMcana
139	L_ 73 / B_ {#akiMcana#} / M_ {#--naM#}	akiMcanaM
140	L_ 74 / B_ {#akiMcanatA#}	akiMcanatA
141	L_ 75 / B_ {#akiMcaniman#}	akiMcaniman
142	L_ 76 / B_ {#akiMcijjYa#}	akiMcijjYa
143	L_ 77 / B_ {#akiMcitkara#}	akiMcitkara
144	L_ 78 / B_ {#akIrtiH#}	akIrtiH
145	L_ 79 / B_ {#akuMWa#}	akuMWa
146	L_ 80 / B_ {#akuMWita#}	akuMWita
147	L_ 81 / B_ {#akutaH#}	akutaH
148	L_ 81 / B_ {#akutaH#} / S_ {#--calaH#}	akutacalaH
149	L_ 81 / B_ {#akutaH#} / S_ {#--Baya#}	akutaBaya
150	L_ 82 / B_ {#akuDryaMc#}	akuDryaMc
151	L_ 83 / B_ {#akupyaM#}	akupyaM
